Source ID *,Question ID *,Question type *,Question *,Option A,Option B,Option C,Option D,Option E,Options F...,Correct Answer *,Correct Answer 2,Correct Answer 3,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Hint 6+
Exercise_1_-_Days_of_the_week,18e77f59d5344742baff93fa127b7c9e,single_selection,How many days do we have in a week?,There are **Seven days** in a week.,There are **Six days** in a week,There are **Ten days** in a week.,There are **Five days** in a week,,,There are **Seven days** in a week.,,,,,,,,
Exercise_5_-_Greetings_and_responses,da2885bfb4b84ea982eba93ac3729c92,single_selection,Happy birthday,Thank you,Good evening,Good afternoon,Good morning,Good night,Many happy returns,Thank you,,,,,,,,
Exercise_5_-_Greetings_and_responses,30a26c465e154f2d8f7e0a70f4407a14,single_selection,Good night,Thank you,Good evening,Good afternoon,Good morning,Good night,Man happy returns,Good night,,,,,,,,
Exercise_5_-_Greetings_and_responses,07c9cbd0e2b6425ea8dc94a1827a43a3,single_selection,Good evening,Thank you,Good evening,Good afternoon,Good morning,Good night,Many happy returns,Good evening,,,,,,,,
Exercise_5_-_Greetings_and_responses,3f92a6ad9edc48eab6add7c3a06a2466,single_selection,Good afternoon,Thank you,Good evening,Good afternoon,Good morning,Good night,Many happy returns,Good afternoon,,,,,,,,
Exercise_5_-_Greetings_and_responses,0f21c18126b24afe80a30d2c3289be05,single_selection,"What should be the response to these greetings?

Good morning",Thank you,Good evening,Good afternoon,Good morning,Good night,Many happy returns,Good morning,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,ae9e957141814edeb08ec4c8b626446e,single_selection,Which has a bigger area? ![](exerciseimages/bf2a337da0bf83edfeea68be56087c81.png),E,F,,,,,F,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,e91d2256c3504275b1230d8e46baaff1,single_selection,Which has a bigger area? ![](exerciseimages/4c9f15cf4cc446db06a234759a261648.png),C,D,,,,,D,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,98e288b5aec54472a90782376d6152e1,single_selection,![](exerciseimages/335f0270ed39c3a49bacf196a23f373e.png),Mansa,Ekow,,,,,Ekow,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,2a93a18110f94a0f8352fad03132592e,single_selection,Which has a smaller area? ![](exerciseimages/df4b2769e4f5318c28508a448e29c48d.png),A,B,,,,,A,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,47a07aea3b90405586472a7e44e6ce5d,single_selection,![](exerciseimages/36ca084bf588069775106c791c46c58a.png),C,D,,,,,D,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,24d0862abdb84ac399dd803e72692705,single_selection,The side drum or the bass drum,The side drum,The bass drum,,,,,The bass drum,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,c1ae7afd42d54f65880e9ed25ec29dc6,single_selection,"Which object is taller?

 ![](exerciseimages/9982fa2fa94980142997d343b9ea51f8.png)",A,B,,,,,B,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,be3e4e53f33c4d25848ac2c615bbe3e9,single_selection,![](exerciseimages/2669bd8088243314b285e129f2a1262e.png),E holds more water than F,F holds less water than E,,,,,E holds more water than F,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,aa80f51def4e46c2ad0bc3ffb232914b,single_selection,A teacher's palm or a pupil's palm,A teacher's palm,A pupil's palm,,,,,A teacher's palm,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,666ff6e289eb4d9aaa8bfaeb377da83b,single_selection,![](exerciseimages/1df4f2e1304a41ea53061331d8cc8c17.png),E,F,,,,,F,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,87b52c1d430f4273bcca31bcd79bfea6,single_selection,![](exerciseimages/b4014f0eb049b1a1946e1034a3a0c4e2.png),C holds less water than D,C holds more water than d,,,,,C holds more water than d,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,7d6e523b7c494979ab85f201b4a5a277,single_selection,A slate or a door,A slate,A door,,,,,A door,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,dc3ef8587f414925830eb0dc1e6c1278,single_selection,![](exerciseimages/5e294df2e1cdf317caf2ebf56f1c4475.png),C,D,,,,,C,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,94bb9669128745b1a1c015a73113683b,single_selection,Choose the right option. ![](exerciseimages/d2986da57267352afcca639410ea9f78.png),A holds more water than B,B holds more water than A,,,,,B holds more water than A,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,2fb7ab42ba774deda1d0529f2eab9a37,single_selection,"Which is bigger? 

An exercise book or a slate",An exercise book,A slate,,,,,A slate,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,6b8849ee98c34e3eb55f2295087eed1c,single_selection,Which object is longer? ![](exerciseimages/036a7ed0b8fc25baed5ef282d84757ac.png),Stick A,Stick B,,,,,Stick B,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,a4370453f3d547b4a0dbaa0e215e7414,single_selection,![](exerciseimages/044209188b7252dceb341f291201c0f1.png),A ruler is lighter than a textbook,A ruler is heavier than a textbook,,,,,A ruler is lighter than a textbook,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,a97c6881a2914f2f8fd16e2c1af0dced,single_selection,![](exerciseimages/28e62cfde7b26a9620c07fed78a550bf.png),A coconut is heavier than an orange,An coconut is lighter than an orange,,,,,A coconut is heavier than an orange,,,,,,,,
Exercise_5_-_Introduction_to_the_idea_of_mass,169edb2c8d7048a8be3521831bb4071a,single_selection,"Which is heavier or lighter?

![](exerciseimages/806be923720bfd117123c3529aeb925b.png)",A tin of milk is heavier than a tin of milo,A tin of milk is lighter than a tin of milo,,,,,A tin of milk is lighter than a tin of milo,,,,,,,,
Exercise_5_-_Nouns_II,9cc585d83d13401e8f4bfaef69715291,single_selection,My …………… is not writing well.,Bag,Book,Box,Eraser,Pen,,Pen,,,,,,,,
Exercise_5_-_Nouns_II,807a2897cba948bcbba494a5f297242c,single_selection,A boy jumping a high jump,A,Boy,Jumping,High,,,Jumping,,,,,,,,
Exercise_5_-_Nouns_II,f653dd81e47f41eaabcdab21dc73f046,single_selection,We use the ……………. to clean wrong writings.,Bag,Book,Box,Eraser,Pen,,Eraser,,,,,,,,
Exercise_5_-_Nouns_II,8350c8c41f614fffbc9b433fce205018,single_selection,A girl writing on a chalkboard.,Girl,Writing,On,Chalkboard,,,Writing,,,,,,,,
Exercise_5_-_Nouns_II,229b76fbcde24fe3845a527c748c2de5,multiple_selection,A boy siting behind a table reading.,Boy,Reading,Table,Siting,,,Reading,Siting,,,,,,,
Exercise_5_-_Nouns_II,5326bd9852494559bd8a7429c060923e,single_selection,a. The cat is in the ……………,Bag,Book,Box,Eraser,Pen,,Box,,,,,,,,
Exercise_5_-_Nouns_II,130ace3e4c11436bb3b9c32537f8df2f,single_selection,A girl laughing,A,Girl,Laughing,,,,Laughing,,,,,,,,
Exercise_5_-_Nouns_II,1c1518aacb8a4d52aef64baed42d2df5,single_selection,The …………. is on the floor.,Bag,Book,Box,Eraser,Pen,,Book,,,,,,,,
Exercise_5_-_Nouns_II,032e9a9cfb124b31b58b429e390146ae,single_selection,"Choose the action words (verbs) in the following sentences. 

An old man sitting in a chair.",Old,Man,Chair,Sitting,,,Sitting,,,,,,,,
Exercise_5_-_Nouns_II,49bf8a5ceab3402bb2112fc808b61b96,single_selection,"Complete the sentences below. 

Esi has her ………….. at her back.",Bag,Book,Box,Eraser,Pen,,Bag,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,08cf8c391c7f43e5889d34a38d7120a8,single_selection,How many Pupils are in the class?,`19,7,9,20,,,20,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,2a1ed225076b46af89b3243ed21a5882,single_selection,Those who walk to school are more than those who go by trotro.,TRUE,FALSE,,,,,TRUE,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,62933592ffc748f3b94449367b025fb2,single_selection,How many pupils go to school by taxi?,4,7,9,5,,,4,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,8cb83c2cf4d045b6864b287e506c3a21,single_selection,How many Pupils walk to school?,4,7,9,3,,,9,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,ecc2311c7ec940aeb9db44736aba5f4e,single_selection,"Use the data to answer the following questions. ![](exerciseimages/22f31b6fa7b94e9b61a02bd73727dcf4.png) 

How many pupils go to school by trotro?",4,7,9,3,,,7,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,98886234ed9842fd9e58e1024d9466ed,single_selection,Those who like kenkey and rice are more than those who like fufu and banku.,TRUE,FALSE,,,,,TRUE,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,3a9f70a983f041ba92763afe9c1b8417,single_selection,Those who like kenkey and rice are more than those who like fufu and banku.,TRUE,FALSE,,,,,TRUE,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,e0696f856659422383486155581fecd8,single_selection,The pupils who like kenkey are more than those who like banku.,TRUE,FALSE,,,,,FALSE,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,ad3a586f30fe468c85b94b66842c23cb,single_selection,The pupils who like kenkey are more than those who like banku.,TRUE,FALSE,,,,,FALSE,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,2112822868a149a4b761d95f4d5aaf57,single_selection,How many more people like rice than fufu ?,6,3,4,2,,,3,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,59f64a753822480ab6011236db18ae44,single_selection,How many more people like rice than fufu ?,6,3,4,2,,,3,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,49850538103e46ebbbf89f0f1f82f82e,single_selection,Which type of food is liked by the least number of pupils?,Fufu,Banku,Kenkey,Rice,,,Kenkey,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,12830428d9e748fe876b2406383a736d,single_selection,Which type of food is liked by the least number of pupils?,Fufu,Banku,Kenkey,Rice,,,Kenkey,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,297508d788d545fdafa2bc5d074bfdc8,single_selection,"Use the data the answer the following questions. ![](exerciseimages/28ab63c818cecc89f8e5f71bdd08e04e.png) 

How many pupils like Banku?",3,4,2,6,,,4,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,5e1c3a4a79b2466c860898e1d92c84d4,single_selection,"Use the data the answer the following questions. ![](exerciseimages/28ab63c818cecc89f8e5f71bdd08e04e.png) 

How many pupils like Banku?",3,4,2,6,,,4,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,9d051a84bd2e4fa78340dd1069295208,single_selection,How many Pupils are in the class?,18,20,19,6,,,20,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,3a5b2f7731fb466fadbc515479bac38b,single_selection,"How many pupils were born on Monday, Wednesday and Saturday altogether?",7,8,6,9,,,6,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,2488987311fc4cc8a1212f1547c6ae9a,single_selection,how many of the reds containers can fill the green container?,1,3,2,6,,,3,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,8e85bf2713af42eb899a6f8e88133bcc,single_selection,How many pupils were born on Monday?,5,2,3,7,,,2,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,87bf7fc89632448584a197221c53617d,single_selection,how many of the green containers can fill the yellow container?,1,3,2,6,,,2,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,8eaaab124c8f4d988633b9a3bbb00af0,single_selection,On what day were most pupils born?,Monday,Tuesday,Sunday,Wednesday,,,Sunday,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,af44aaceecdd4dc7ab6bd5af547e670f,single_selection,"If the red container is one litre, and the Green is 3 litres and the Yellow is 6 litres, 

![](exerciseimages/18f4aa5083b889567cf768e1eca93293.png) 

how many of the red containers can fill the yellow container?",1,2,4,6,,,6,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,069e354de17f4b7ba1f2aabd2bfbf881,single_selection,"Use the data to answer the following questions. ![](exerciseimages/1777e1d6e19f02acf8354b23a225d162.png)

How many pupils were born on Tuesday",5,3,2,7,,,3,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,15ee45653c5d4b4e9e22321dd2381e18,single_selection,How many more pupils were served with Fanta than sprite?,2,4,7,3,,,3,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,71e878ca4e11461a81b4b5477c27e3c4,single_selection,Which soft drink was served to most pupils?,Pepsi,Sprite,Fanta,Coca Cola,,,Fanta,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,7f354b0ce40d40b79fd8bc859c51eca7,single_selection,Which soft drink was served to the least number of pupils?,Pepsi,Fanta,Spirite,Mirinda,,,Pepsi,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,5ae01afc97b444eb80c195379260d5f1,single_selection,How many pupils were served with Miranda?,4,5,3,7,,,5,,,,,,,,
Exercise_3_-_Collecting_and_handling_data,459633073d2447b1afc1a3f5bbb29ce3,single_selection,"![](exerciseimages/e3f2904fd659832f09473751c926d818.png) 

Use the data above to answer the following questions.

How many soft drinks were served at the party?",7,3,20,25,,,25,,,,,,,,
Exercise_5_-_Irregular_nouns,611d94e23d7f4d468d25bfc27a11a6c0,single_selection,Cat,Cates,Cats,,,,,Cats,,,,,,,,
Exercise_5_-_Irregular_nouns,bbc6004bc8cb441b8ea04fd02a353629,single_selection,They ………………. all in the classroom.,is,are,,,,,are,,,,,,,,
Exercise_5_-_Irregular_nouns,e6a627a8d84e417c86f1f7c92893eed6,single_selection,Bag,Bages,Bags,,,,,Bags,,,,,,,,
Exercise_5_-_Irregular_nouns,98cc038485b34af198a8701cc1baa04a,single_selection,She ……….. my sister.,is,are,,,,,is,,,,,,,,
Exercise_5_-_Irregular_nouns,79da8f60b11641b894caf5a642ba4083,single_selection,Airplane,Airplanes,Airplaness,,,,,Airplanes,,,,,,,,
Exercise_5_-_Irregular_nouns,dc4819a4007c4ad0a46750bd00251111,single_selection,He ……………. with his parents.,lives,live,,,,,lives,,,,,,,,
Exercise_5_-_Irregular_nouns,ed03bfb7ad5944f2bf696cc5abe9d93a,single_selection,Donkey,Donkeys,Donkeyes,,,,,Donkeys,,,,,,,,
Exercise_5_-_Irregular_nouns,961883313b89414d9780272bb73226db,single_selection,You ……………. learning English.,are,is,,,,,are,,,,,,,,
Exercise_5_-_Irregular_nouns,418ef644a37545d0abe9cb5744a24c91,single_selection,Ant,Ants,Antes,,,,,Ants,,,,,,,,
Exercise_5_-_Irregular_nouns,9bc7775bcb6e4267a20a58ebe4b2e120,single_selection,It …………….. very fast.,runs,run,,,,,runs,,,,,,,,
Exercise_5_-_Irregular_nouns,0baa65881ef74335a95992abd96a3ef4,single_selection,Tractor,Tractors,Tractores,,,,,Tractors,,,,,,,,
Exercise_5_-_Irregular_nouns,ea89c27d767948bf8afd781aee757edd,single_selection,They ………….. to music on radio.,listens,listen,,,,,listen,,,,,,,,
Exercise_5_-_Irregular_nouns,9f2df363ab55489084712da5537bdbc8,single_selection,The pillow is ………………… the baby’s head.,in front,above,under,on,in,near,under,,,,,,,,
Exercise_5_-_Irregular_nouns,4b40a3cea59f45c4b1ebf651156719a0,single_selection,Teacher,Teachers,Teacheres,,,,,Teachers,,,,,,,,
Exercise_5_-_Irregular_nouns,24657fd1f4754ce7b39540066729db13,single_selection,She ………………. yams at the market.,sell,sells,,,,,sells,,,,,,,,
Exercise_5_-_Irregular_nouns,fb4e2b737228449a86c9b2a740a0b842,single_selection,Aeroplanes fly ……………..the sky.,under,above,below,over,in,on,in,,,,,,,,
Exercise_5_-_Irregular_nouns,7bb3108d57c7405d8e6f6b864911ee35,single_selection,Book,Books,Bookes,,,,,Books,,,,,,,,
Exercise_5_-_Irregular_nouns,caa0c56a68574bc590c8635fba482306,single_selection,He ………….. in primary three.,is,are,,,,,is,,,,,,,,
Exercise_5_-_Irregular_nouns,719647d0fa034dffb15151375cf9283e,single_selection,The bridge is ………………..the river.,in front,above,below,over,on,near,on,,,,,,,,
Exercise_5_-_Irregular_nouns,ff64d25e25d242c2a0e91729f84e57dc,single_selection,Table,Tables,Tabless,,,,,Tables,,,,,,,,
Exercise_5_-_Irregular_nouns,1176447710b341ae95bccec224a87120,single_selection,We …………….. football at school.,plays,play,,,,,play,,,,,,,,
Exercise_5_-_Irregular_nouns,0f4294216ad842faa9ce74b6a7df9f89,single_selection,Kwame is walking ……………… Kofi.,in front,above,below,over,beside,near,beside,,,,,,,,
Exercise_5_-_Irregular_nouns,8c6b70525b54422baaea50e6d1389e8b,single_selection,"Select the plural form of the following nouns. 

Dog",Dogs,Doges,,,,,Dogs,,,,,,,,
Exercise_5_-_Irregular_nouns,b3d2dd0bac084781b02cbc3a006187ae,single_selection,"Select the correct verb to complete the following sentences. 

I ………………… rice in the afternoon.",eat,eats,,,,,eat,,,,,,,,
Exercise_5_-_Irregular_nouns,46ba201d2a6c4a4a95358b14618148dc,single_selection,"Complete the following sentences with the correct prepositions. 

1\. She is standing ………………..of her house.",in front,above,below,over,beside,near,in front,,,,,,,,
Exercise_5_-_Irregular_nouns,9d7bd0c3d63f45d8893db9a9a525aae5,single_selection,Loaf,Loafes,Loaves,,,,,Loaves,,,,,,,,
Exercise_5_-_Irregular_nouns,c63dc4c133d14e71b89369dea536540a,single_selection,Mouse,Mice,Mouses,,,,,Mice,,,,,,,,
Exercise_5_-_Irregular_nouns,bd45037cdd4647a8a050f4ac1d086117,single_selection,Child,Childs,Children,,,,,Children,,,,,,,,
Exercise_5_-_Irregular_nouns,d72b0da54fdc4f05bc9fca1440ce9bfd,single_selection,Ox,Oxes,Oxen,,,,,Oxen,,,,,,,,
Exercise_5_-_Irregular_nouns,b357ce102b494018a2edf23454c9ebd7,single_selection,Wife,Wives,Wifes,,,,,Wives,,,,,,,,
Exercise_5_-_Irregular_nouns,d25a0c2703314f2999320205e4e55a64,single_selection,Leaf,Leafs,Leaves,,,,,Leaves,,,,,,,,
Exercise_5_-_Irregular_nouns,de167a93ee104ec1973c9dafbc484d89,single_selection,Knife,Knifes,Knives,,,,,Knives,,,,,,,,
Exercise_5_-_Irregular_nouns,94b5c9480b474f0394da891ef1669e2a,single_selection,Die,Dies,Dice,,,,,Dice,,,,,,,,
Exercise_5_-_Irregular_nouns,4c98d4d9397f476dbddb4baf403b90de,single_selection,Tooth,Teeth,Toothes,,,,,Teeth,,,,,,,,
Exercise_5_-_Irregular_nouns,8df0433663914cbbb20d056465abd58e,single_selection,"Select the plural form of the following irregular nouns.

<div>Example. hoof = hooves</div>

<div>Man</div>",Mans,Men,,,,,Men,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,496e6486435d415da092e48f538acee9,single_selection,The length of the school block is shorter than the length of the classroom.,TRUE,FALSE,,,,,FALSE,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,7a58b7d313b4431ab8af37bb52756d95,single_selection,The height of our classroom door is taller than the height of teacher’s table.,TRUE,FALSE,,,,,TRUE,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,fd4bb32d3ef3470e8e30b68d4e0a7ba6,single_selection,"A red stick measures 4m 23cm and green stick measures 4m 32 cm, which stick is shorter?",The red stick is shorter,The green stick is shorter,,,,,The red stick is shorter,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,aef62a99b68a4a9db0a58594ace17f74,single_selection,1\. Amidu is 1m 68cm tall. Stella is 1m 80cm tall. Who is taller?,Amidu is taller.,Stella is taller.,,,,,Stella is taller.,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,003e2138f2984782a9ef797db01891d6,single_selection,___________has length about 2 meters.,Bed,Chair,,,,,Bed,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,543212bedd134b90b7f1feb9dba2c790,single_selection,___________has length more than one meter.,Chalkboard,Exercise book,,,,,Chalkboard,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,3cb7fd7f76b44c499d259ed818af26dd,single_selection,From my elbow to my finger tips is ___________one meter.,longer than,shorter than,taller than,,,,shorter than,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,763a33d0e92c45609522d3bd39b58758,single_selection,1\. The height of the classroom door is ___________one meter.,longer than,shorter than,taller than,,,,taller than,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,856a355dab634c54826f40e383d0b384,single_selection,The length of the blackboard is ___________one meter.,longer than,shorter than,taller than,,,,longer than,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,99e971756eb741cfa9da10aef10c45ad,single_selection,"Choose the correct answer. 

1\. The length of an exercise book is ___________one meter.",longer than,shorter than,taller than,,,,shorter than,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,2f0580f384f3434cb62cfe6de912a620,single_selection,More exercise books can cover the surface area of the teacher’s table than slates.,TRUE,FALSE,,,,,FALSE,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,a58387a8fb8641048b2e6185d6300977,single_selection,![](exerciseimages/598e5f939ba5bf11e1b9d2253a79830c.png),D E F,F D E,E F D,F E D,,,E F D,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,e3da35b3753f439c80a3ef4e652272f3,single_selection,"Arrange the following Shapes, starting from the smallest area to the biggest area. ![](exerciseimages/df5310342f26a06be65e0ced708f8a8c.png)",A B C,C B A,C A B,B A C,,,C A B,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,8eac97771fb1452699e42cffe5323158,single_selection,Which of these shapes has the larger surface area? ![](exerciseimages/40c310400b0828c23a0bd0d3f217b6bb.png),A,B,,,,,B,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,3a2fdd2732e341e998aa9deeb8c13d91,single_selection,Which of these shapes has the larger surface area?![](exerciseimages/f89b4529d67335e52043980ac0c847b0.png),A,B,,,,,A,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,1d4daf94a4bb4770854a1d249726b0a6,single_selection,Teacher’s chair and teacher’s table,Teacher's chair,Teacher's table,,,,,Teacher's table,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,83aaf81b0f8543e890caa0006c0ed1d3,single_selection,Teacher’s chair and teacher’s table,Teacher's chair,Teacher's table,,,,,Teacher's table,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,6d545d67aa93423d8626b6012d2b76e9,single_selection,Teacher’s chair and teacher’s table,Teacher's chair,Teacher's table,,,,,Teacher's table,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,8dbcd765745b4e5c9099e7358244217e,single_selection,A-4 sheet and the class register.,An A-4 sheek,The class register,,,,,The class register,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,acd675f2973c41fdb16e8570de39ade4,single_selection,A-4 sheet and the class register.,An A-4 sheek,The class register,,,,,The class register,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,f95e26fe813e4aae94a59a7adc0ca247,single_selection,A-4 sheet and the class register.,An A-4 sheek,The class register,,,,,The class register,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,91fb91cc96f04c71a56a0a4c6f0954de,single_selection,A chair and a handkerchief.,A chair,A handkerchief,,,,,A chair,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,bbc19046547f4e35b5a91250a44b3d14,single_selection,A chair and a handkerchief.,A chair,A handkerchief,,,,,A chair,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,c85c45b657504693996570f230fd961d,single_selection,A chair and a handkerchief.,A chair,A handkerchief,,,,,A chair,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,41333d6b6ba54359ab59705fe7ddcecc,single_selection,"Compare the following surfaces and select which has a larger surface. 

 An exercise book and a teacher’s notebook",An exercise book,A teacher's notebook,,,,,A teacher's notebook,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,c2919ad493a94b9a951fe4be519b0fda,single_selection,"Compare the following surfaces and select which has a larger surface. 

 An exercise book and a teacher’s notebook",An exercise book,A teacher's notebook,,,,,A teacher's notebook,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,4221995fdf0048648e520bd49c1d3338,single_selection,"Compare the following surfaces and select which has a larger surface. 

 An exercise book and a teacher’s notebook",An exercise book,A teacher's notebook,,,,,A teacher's notebook,,,,,,,,
Compare_surfaces_(regions)_of_plane_shapes,7f60b8b4a23a40a7ada9029da39d7d63,single_selection,A 12 cm square cut out can cover more space than a 10cm square cut out.,TRUE,FALSE,,,,,TRUE,,,,,,,,
Exercise_4_-_Creating_and_renaming_folders,ae48bdb200bf4bb09185e328814e82dc,single_selection,What is a browser?,,,,,,,,,,,,,,,
Exercise_4_-_Creating_and_renaming_folders,674620913c6e4133a0a8d58c6cf2d8cd,single_selection,Set the time to see how fast you can type.,,,,,,,,,,,,,,,
Exercise_4_-_Creating_and_renaming_folders,5aa797d5af924f50948f73d9bc6aea5e,single_selection,Look for the search engine and look for VODAFONE GHANA FOUNDATION,,,,,,,,,,,,,,,
Exercise_4_-_Creating_and_renaming_folders,0d4bf3ba6ad74a35916cc61e6a3d146b,single_selection,State two importance of the internet,,,,,,,,,,,,,,,
Exercise_4_-_Creating_and_renaming_folders,8012d17efe6e483bb44a27c0ec62dfaa,single_selection,Open the Mavis Beacon Typing software and type “My Self”.,,,,,,,,,,,,,,,
Exercise_4_-_Creating_and_renaming_folders,fdaffb6e917748a08c7bf7c336f1c99e,single_selection,"Open the browser on your computer, tablet or mobile phone",,,,,,,,,,,,,,,
